PLAYER,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Danilo Gallinari,6:12,0,0,0.0,0,0,0.0,4,4,1.000,0,1,1,0,0,0,0,0,4,+5
Luguentz Dort,2:45,0,1,.000,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,1,0,-2
Steven Adams,8:39,1,2,.500,0,0,0.0,0,0,0.0,0,1,1,0,1,0,1,2,2,+1
Dennis Schr̦der,10:26,5,7,.714,2,2,1.000,0,0,0.0,0,2,2,1,0,0,2,1,12,+10
Nerlens Noel,3:21,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1,1,1,0,0,0,0,+5
Darius Bazley,5:48,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,+1
Hamidou Diallo,2:09,0,2,.000,0,1,.000,0,0,0.0,0,0,0,0,0,0,0,0,0,+3
Abdel Nader,4:47,1,2,.500,0,1,.000,0,0,0.0,0,0,0,0,0,0,0,1,2,-1
Team Totals,240,42,97,.433,7,31,.226,20,22,.909,15,26,41,26,13,4,12,24,111,0
Anthony Davis,8:39,2,6,.333,1,3,.333,0,0,0.0,2,3,5,1,0,1,1,0,5,0
LeBron James,12:00,3,8,.375,1,5,.200,1,2,.500,0,3,3,2,0,0,0,1,8,-1
Avery Bradley,5:24,1,1,1.000,1,1,1.000,0,0,0.0,0,0,0,1,0,0,0,0,3,-3
Danny Green,3:15,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
JaVale McGee,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Kyle Kuzma,9:21,1,4,.250,0,1,.000,1,2,.500,2,3,5,0,0,0,0,0,3,-5
Kentavious Caldwell-Pope,8:45,2,6,.333,0,2,.000,0,0,0.0,1,0,1,1,0,0,0,0,4,-1
Dwight Howard,6:00,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,3,0,+3
Rajon Rondo,3:21,0,1,.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-1
Alex Caruso,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Troy Daniels,3:15,0,1,.000,0,0,0.0,0,0,0.0,0,0,0,1,0,0,1,1,0,+3
Jared Dudley,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Quinn Cook,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Team Totals,240,45,96,.469,11,32,.344,18,28,.643,19,43,62,28,2,10,18,21,119,0
Damian Lillard,8:39,3,5,.600,0,1,.000,0,0,0.0,0,1,1,2,0,0,0,0,6,0
CJ McCollum,12:00,3,7,.429,0,2,.000,0,0,0.0,1,1,2,1,0,0,0,0,6,+1
Trevor Ariza,12:00,0,1,.000,0,1,.000,0,0,0.0,0,1,1,0,1,0,0,0,0,+1
Hassan Whiteside,8:39,4,5,.800,0,0,0.0,0,0,0.0,2,6,8,0,0,1,0,1,8,0
Wenyen Gabriel,0:22,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-2
Gary Trent,5:30,1,3,.333,1,2,.500,0,0,0.0,0,0,0,0,0,0,1,0,3,+4
Anfernee Simons,3:21,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,+1
Caleb Swanigan,3:21,0,0,0.0,0,0,0.0,0,0,0.0,0,4,4,0,0,0,1,0,0,+1
Mario Hezonja,6:08,0,3,.000,0,2,.000,1,2,.500,0,0,0,0,0,0,0,1,1,-1
Nassir Little,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Team Totals,240,49,97,.505,13,36,.361,16,21,.762,6,34,40,25,10,8,5,22,127,0
Patrick Beverley,5:02,0,1,.000,0,0,0.0,0,0,0.0,0,2,2,2,0,0,0,0,0,0
Paul George,3:40,3,4,.750,1,1,1.000,0,0,0.0,1,2,3,0,0,0,0,1,7,+4
Kawhi Leonard,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Ivica Zubac,4:38,1,3,.333,0,0,0.0,0,0,0.0,1,1,2,0,0,1,0,1,2,-2
Maurice Harkless,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Landry Shamet,9:48,2,4,.500,2,4,.500,0,0,0.0,0,1,1,0,0,0,0,2,6,+5
Lou Williams,9:48,0,6,.000,0,1,.000,0,0,0.0,0,1,1,3,0,0,0,1,0,+5
Montrezl Harrell,5:10,1,4,.250,0,0,0.0,0,0,0.0,2,0,2,0,0,0,1,1,2,+7
JaMychal Green,12:00,1,4,.250,1,4,.250,0,0,0.0,1,3,4,0,0,2,1,2,3,0
Rodney McGruder,3:18,0,1,.000,0,0,0.0,0,0,0.0,0,1,1,0,1,0,0,0,0,-4
Jerome Robinson,2:12,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-5
Terance Mann,2:12,0,1,.000,0,1,.000,0,0,0.0,0,1,1,0,0,0,0,0,0,-5
Patrick Patterson,2:12,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-5
